"id","name","location","orgId","extServicesState","createdAt","updatedAt"
807,praveen,currency nagar,712,in_sync,2021-11-19 14:12:51.464 +0530,2021-11-19 14:13:02.517 +0530
808,Ghanna,South Africa,713,in_sync,2021-11-19 16:08:34.381 +0530,2021-11-19 16:08:45.249 +0530
815,Demo SIte,Durban,720,in_sync,2021-11-24 15:07:59.646 +0530,2021-11-24 15:08:10.554 +0530
2646,Maple_TowerA_GF,Noida,1513,in_sync,2022-10-07 13:27:45.621 +0530,2022-10-07 13:27:46.189 +0530
2647,Premari_1F,Noida,1513,in_sync,2022-10-07 13:27:46.342 +0530,2022-10-07 13:27:46.569 +0530
2704,WTT_GF,Noida,1667,create_failed,2022-10-17 15:56:16.514 +0530,2022-10-17 15:56:36.560 +0530
3913,India,Delhi,2231,in_sync,2022-11-21 12:15:29.857 +0530,2022-11-21 12:15:30.164 +0530
3914,USA,Canada,2234,in_sync,2022-11-21 12:43:23.501 +0530,2022-11-21 12:43:23.581 +0530
3915,IFSEC ,Delhi,2235,in_sync,2022-11-21 16:06:27.445 +0530,2022-11-21 16:06:27.572 +0530
3916,Site1,Location1,2236,in_sync,2022-11-21 16:14:06.007 +0530,2022-11-21 16:14:06.067 +0530
3917,Amar Madhuban Tech Park,Pune,1275,in_sync,2022-11-22 12:19:08.445 +0530,2022-11-22 12:19:10.107 +0530
3918,AP81_GF,Pune,2237,in_sync,2022-11-22 12:21:02.779 +0530,2022-11-22 12:21:03.016 +0530
3919,AP81_7F,PUNE,2237,in_sync,2022-11-22 12:21:03.161 +0530,2022-11-22 12:21:03.376 +0530
3920,Google Ap81,Pune,2237,in_sync,2022-11-22 12:21:03.488 +0530,2022-11-22 12:21:03.675 +0530
3921,AP81_10F,Pune,2237,in_sync,2022-11-22 12:21:03.794 +0530,2022-11-22 12:21:03.996 +0530
3922,Asokaa Developers ,Nanakaramguda,2238,in_sync,2022-11-22 16:21:10.318 +0530,2022-11-22 16:21:10.384 +0530
3923,Malpani Agile,Pune,2239,in_sync,2022-11-22 17:27:48.177 +0530,2022-11-22 17:27:48.920 +0530
3924,AP81_GF,Pune,2239,in_sync,2022-11-22 17:29:21.858 +0530,2022-11-22 17:29:22.124 +0530
3925,AP81_7F,PUNE,2239,in_sync,2022-11-22 17:29:22.216 +0530,2022-11-22 17:29:22.485 +0530
3926,Google Ap81,Pune,2239,in_sync,2022-11-22 17:29:22.595 +0530,2022-11-22 17:29:22.984 +0530
3927,AP81_10F,Pune,2239,in_sync,2022-11-22 17:29:23.054 +0530,2022-11-22 17:29:23.225 +0530
3928,Karle The Cube,Bangalore,2240,in_sync,2022-11-22 18:24:15.385 +0530,2022-11-22 18:24:16.437 +0530
3929,SiteOne,LocOne,2241,in_sync,2022-11-22 22:27:13.371 +0530,2022-11-22 22:27:13.453 +0530
3930,Hayward,California,2242,in_sync,2022-11-22 23:01:41.894 +0530,2022-11-22 23:01:41.965 +0530
3931,Hayward,California,2243,in_sync,2022-11-22 23:05:55.885 +0530,2022-11-22 23:05:56.036 +0530
3932,Unitech Cyber Park,Gurugram,2244,delete_failed,2022-11-22 23:26:42.594 +0530,2022-11-24 10:24:15.949 +0530
3933,Oakland,California,1429,in_sync,2022-11-23 02:38:13.116 +0530,2022-11-23 02:38:13.267 +0530
3934,Brentwood,California,1429,in_sync,2022-11-23 02:53:03.248 +0530,2022-11-23 02:53:03.346 +0530
3935,Hercules,California,1429,in_sync,2022-11-23 03:41:28.564 +0530,2022-11-23 03:41:28.799 +0530
